teacher_id,year,semester,degree,num_class
101476,112,1,學士班,1
308001,112,1,學士班,6
101388,112,1,學士班,2
111389,112,1,學士班,3
131349,112,1,學士班,1
127278,112,1,學士班,1
125908,112,1,學士班,1
131059,112,1,學士班,1
130038,112,1,學士班,1
124584,112,1,學士班,1
354008,112,1,學士班,1
353004,112,1,學士班,1
307005,112,1,學士班,2
128823,112,1,學士班,1
117535,112,1,學士班,2
102107,112,1,學士班,1
121785,112,1,學士班,2
126893,112,1,學士班,3
128689,112,1,學士班,1
122684,112,1,學士班,1
128825,112,1,學士班,2
125803,112,1,學士班,2
128277,112,1,學士班,1
118733,112,1,學士班,4
124544,112,1,學士班,6
128727,112,1,學士班,1
129490,112,1,學士班,1
128219,112,1,學士班,1
117066,112,1,學士班,2
127274,112,1,學士班,4
118732,112,1,學士班,2
101987,112,1,學士班,1
102306,112,1,學士班,1
107982,112,1,學士班,1
113641,112,1,學士班,1
129597,112,1,學士班,1
129595,112,1,學士班,1
131483,112,1,學士班,1
123305,112,1,學士班,1
128209,112,1,學士班,2
121784,112,1,學士班,4
102349,112,1,學士班,2
107022,112,1,學士班,1
117436,112,1,學士班,4
116259,112,1,學士班,3
102703,112,1,學士班,2
125959,112,1,學士班,2
303017,112,1,學士班,1
125918,112,1,學士班,3
129541,112,1,學士班,3
103903,112,1,學士班,2
121807,112,1,學士班,2
131004,112,1,學士班,2
111935,112,1,學士班,1
113618,112,1,學士班,4
126928,112,1,學士班,1
113492,112,1,學士班,2
130036,112,1,學士班,4
125939,112,1,學士班,2
124407,112,1,學士班,2
126891,112,1,學士班,2
308003,112,1,學士班,1
102108,112,1,學士班,2
131348,112,1,學士班,3
128824,112,1,學士班,2
102700,112,1,學士班,3
119833,112,1,學士班,2
124481,112,1,學士班,2
101454,112,1,學士班,1
115112,112,1,學士班,1
102105,112,1,學士班,3
131056,112,1,學士班,1
102106,112,1,學士班,1
128835,112,1,學士班,1
102380,112,1,學士班,2
130158,112,1,學士班,1
117067,112,1,學士班,2
114664,112,1,學士班,1
129966,112,1,學士班,1
119796,112,1,學士班,2
127337,112,1,學士班,1
301016,112,1,學士班,3
101607,112,1,學士班,2
123991,112,1,學士班,1
126927,112,1,學士班,1
111758,112,1,學士班,2
128655,112,1,學士班,2
119921,112,1,學士班,1
130039,112,1,學士班,2
131062,112,1,學士班,1
118655,112,1,學士班,2
130147,112,1,學士班,1
125884,112,1,學士班,2
131499,112,1,學士班,1
101830,112,1,學士班,1
122815,112,1,學士班,1
102657,112,1,學士班,2
308508,112,1,學士班,1
121709,112,1,學士班,1
115028,112,1,學士班,1
118658,112,1,學士班,1
