teacher_id,year,semester,teacher_type
101476,112,1,專任
308001,112,1,專任
101388,112,1,專任
111389,112,1,兼任
124500,112,1,兼任
115898,112,1,專任
131349,112,1,專任
127278,112,1,專任
125908,112,1,專任
112225,112,1,兼任
102102,112,1,專任
131059,112,1,兼任
130038,112,1,專任
124584,112,1,兼任
354008,112,1,專任
305020,112,1,專任
353004,112,1,專任
128564,112,1,兼任
307005,112,1,專任
128823,112,1,專任
152501,112,1,兼任
130717,112,1,兼任
102323,112,1,兼任
117535,112,1,專任
107983,112,1,專任
102107,112,1,專任
121785,112,1,專任
126893,112,1,專任
128689,112,1,兼任
122684,112,1,兼任
128825,112,1,兼任
107927,112,1,兼任
125803,112,1,專任
128277,112,1,兼任
118733,112,1,專任
124544,112,1,專任
127335,112,1,兼任
128727,112,1,專任
129490,112,1,兼任
113615,112,1,專任
128219,112,1,兼任
117066,112,1,專任
128208,112,1,兼任
127274,112,1,專任
118732,112,1,專任
101987,112,1,兼任
102306,112,1,專任
107982,112,1,專任
113641,112,1,專任
129597,112,1,兼任
128691,112,1,兼任
129595,112,1,兼任
131483,112,1,兼任
117599,112,1,兼任
123305,112,1,兼任
128209,112,1,兼任
121784,112,1,專任
102349,112,1,專任
107022,112,1,專任
308002,112,1,專任
123945,112,1,兼任
117436,112,1,專任
116259,112,1,專任
307001,112,1,兼任
113045,112,1,專任
102703,112,1,專任
125959,112,1,專任
303017,112,1,專任
103902,112,1,專任
601009,112,1,兼任
125918,112,1,專任
129541,112,1,兼任
103903,112,1,專任
121807,112,1,專任
131004,112,1,專任
107924,112,1,專任
111935,112,1,兼任
123944,112,1,兼任
126020,112,1,兼任
113618,112,1,專任
126928,112,1,兼任
113492,112,1,專任
130036,112,1,專任
125939,112,1,專任
111197,112,1,兼任
124407,112,1,專任
126891,112,1,兼任
308003,112,1,專任
102108,112,1,專任
118069,112,1,兼任
131348,112,1,專任
128824,112,1,專任
102700,112,1,專任
119833,112,1,專任
124481,112,1,兼任
101454,112,1,兼任
115112,112,1,專任
102105,112,1,專任
131056,112,1,兼任
102106,112,1,專任
111282,112,1,兼任
128835,112,1,專任
102380,112,1,專任
130035,112,1,兼任
130158,112,1,專任
117067,112,1,專任
114664,112,1,專任
129966,112,1,專任
119796,112,1,兼任
102064,112,1,專任
127337,112,1,兼任
129360,112,1,專任
124035,112,1,兼任
301016,112,1,專任
101607,112,1,專任
123991,112,1,專任
126927,112,1,兼任
111758,112,1,專任
128655,112,1,專任
119921,112,1,專任
130039,112,1,專任
131062,112,1,兼任
118655,112,1,專任
101567,112,1,專任
119430,112,1,專任
119794,112,1,專任
130147,112,1,兼任
125884,112,1,專任
131499,112,1,兼任
101830,112,1,專任
122815,112,1,兼任
102657,112,1,專任
113809,112,1,兼任
308508,112,1,專任
121709,112,1,兼任
115028,112,1,兼任
118658,112,1,專任
118656,112,1,專任
301019,112,1,專任
123164,112,1,專任
125547,112,1,兼任
111578,112,1,專任
114671,112,1,專任
125917,112,1,專任
115045,112,1,專任
306012,112,1,專任
131544,112,1,兼任
101854,112,1,兼任
105859,112,1,專任
128693,112,1,兼任
107704,112,1,兼任
125919,112,1,專任
128264,112,1,兼任
131061,112,1,兼任
125916,112,1,專任
111520,112,1,專任
104973,112,1,專任
127364,112,1,專任
301015,112,1,專任
129491,112,1,兼任
130040,112,1,專任
354005,112,1,專任
111933,112,1,專任
116258,112,1,專任
125511,112,1,專任
101831,112,1,專任
105921,112,1,兼任
111058,112,1,專任
128694,112,1,兼任
113613,112,1,專任
106855,112,1,兼任
111650,112,1,兼任
102702,112,1,專任
305018,112,1,專任
127273,112,1,專任
118657,112,1,專任
101600,112,1,專任
124532,112,1,專任
127268,112,1,兼任
113811,112,1,兼任
131542,112,1,兼任
306009,112,1,專任
103897,112,1,專任
102063,112,1,專任
127357,112,1,兼任
304009,112,1,專任
118330,112,1,專任
101654,112,1,專任
121802,112,1,專任
129361,112,1,專任
130016,112,1,兼任
