teacher_id,item_name,item_year,item_type,journal,journal_type,co_worker_in,co_worker_out,scholarship_type,equis
301019.0,"傅冶天*, 2016, ""Outliers Discovery through Cross-Domain Comparison in the Big Data Era: From Stanford Management Company Performance (2000-2008) to Fund Management Excellence""",2016,,,X,,,Applied_or_Integration_Application_Scholarship,E5:Papers in Professional conferences
111580.0,"簡睿哲 2018.02, 'Drivers of Virtual Interfirm Integration and Its Impact on Performance in International Customer–Supplier Relationships",2018,期刊論文,Management International Review,O,,"Daekwan Kim;
 ;Rudolf Sinkovics*,",Basic_or_Discovery_Scholarship,E1:Academic Research Articles
111580.0,"簡睿哲 2017.02, 'Antecedents and Outcomes of Supplier Innovativeness in International Customer–Supplier Relationships: The Role of Knowledge Distance,",2017,期刊論文,Management International Review,O,,"Rudolf Sinkovics*;Daekwan Kim,",Basic_or_Discovery_Scholarship,E1:Academic Research Articles
111580.0,Polarizing Effect of Early Exporting on Exit,2017,期刊論文,Management International Review,O,,Ziliang Deng*;Rudolf Sinkovics,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
111580.0,Antecedents and Outcomes of Supplier Innovativeness in International Customer–Supplier Relationships: The Role of Knowledge Distance,2017,期刊論文,Management International Review,O,,;Rudolf Sinkovics*;Daekwan Kim,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
111580.0,"簡睿哲 2019.12, 'Antecedents and outcomes of digital platform risk for international new ventures’ internationalization",2019,期刊論文,Journal of World Business,O,,"Daekwan Kim*;Erin Cavusgil,",Basic_or_Discovery_Scholarship,E1:Academic Research Articles
111580.0,"陳厚銘*;連勇智;許嘉文;林玟廷;簡睿哲, 2016.03, '國際企業研究發展的新方向和新興議題, ' 管理學報, Vol.33, No.1, pp.35-60.(TSSCI)(*為通訊作者), 411121",2016,期刊論文,Journal of Management and Business Research (管理學報),O,,陳厚銘*;連勇智;許嘉文;林玟廷,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
111580.0,"簡睿哲*;2019.07, 'Internet and SMEs' internationalization: The role of platform and website",2019,期刊論文,Journal of International Management,O,,"Daekwan Kim,",Basic_or_Discovery_Scholarship,E1:Academic Research Articles
111580.0,Rapid expansion of international new ventures across institutional distance,2017,期刊論文,Journal of International Business Studies,O,,Ziliang Deng*Rudolf Sinkovics,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
111580.0,"簡睿哲*;2017.07, 'Relationship-based product innovations: Evidence from the global supply chain",2017,期刊論文,Journal of Business Research,O,,"Daekwan Kim;Daniel C. Bello,",Basic_or_Discovery_Scholarship,E1:Academic Research Articles
111580.0,"簡睿哲 2017.11, 'The empirical link between export entry mode diversity and export performance: a contingency- and institutional-based examination",2017,期刊論文,Journal of Business Research,O,,"João S. Oliveira*;Nahid Yazdani;John W. Cadogan;Ian R. Hodgkinson;Eleni Tsougkou;;Vicky M. Story;Nathaniel Boso,",Basic_or_Discovery_Scholarship,E1:Academic Research Articles
111580.0,The empirical link between export entry mode diversity and export performance: a contingency- and institutional-based examination,2017,期刊論文,Journal of Business Research,O,,Cadogan;Ian R. Hodgkinson;Eleni Tsougkou;Vicky M. Story;Nathaniel Boso,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
111580.0,Relationship-based product innovations: Evidence from the global supply chain,2017,期刊論文,Journal of Business Research,O,,Daekwan Kim;Daniel C. Bello,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
111580.0,"簡睿哲;邱志聖;Rudolf Sinkovics*, 2016.08, 'Interpartner learning, dependence asymmetry and radical innovation in customer-supplier relationships, ' Journal of Business & Industrial Marketing, Vol.31, No.6, pp.732-742.(SSCI)(*為通訊作者), 408332",2016,期刊論文,Journal of Business & Industrial Marketing,O,,;邱志聖;Rudolf Sinkovics,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
111580.0,Risk Evaluations with Robust Approximate Factor Models,2017,期刊論文,Journal of Banking and Finance,X,,,Basic_or_Discovery_Scholarship,E15:Other(Please describe)其他(科技部學術型計畫 MOST Research Project)
111580.0,"簡睿哲;Zhiqiang Wang;Xiande Zhao;Rudolf Sinkovics*, 2016.05, 'Drivers and customer satisfaction outcome of CSR in supply chains in different institutional contexts, a comparison between China and Taiwan, ' International Marketing Review, Vol.33, No.4, pp.514-529.(SSCI)(*為通訊作者), 408334",2016,期刊論文,International Marketing Review,O,,Zhiqiang Wang;Xiande Zhao;Rudolf Sinkovics*,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
111580.0,"簡睿哲*;Ziliang Deng;Xiaohui Liu;Daekwan Kim, 2016.05, 'Assessing endogeneity issues in international marketing research, ' International Marketing Review, Vol.33, No.3, pp.483-512.(SSCI)(*為通訊作者), 408335",2016,期刊論文,International Marketing Review,O,,;Ziliang Deng;Xiaohui Liu;Daekwan Kim,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
111580.0,"簡睿哲*;Daekwan Kim;Yung-Chih, Lien;Ro, Sangbum, 2020.03, 'The Moderating Effect of Virtual Integration on Interorganizational Governance and Relationship Performance in International Customer-Supplier Relationship, ' International Marketing Review, Vol.accepted.(SSCI)(*為通訊作者)(本論著未刊登但已被接受), 426437",2020,期刊論文,International Marketing Review,O,,,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
121779.0,"薛景文, 2017.03, '論WTO反傾銷制度下「非市場經濟體」待遇之內涵與適用, ' 臺大法學論叢, Vol.46, No.1, pp.201-267.(TSSCI), 414878",2017,期刊論文,National Taiwan University Law Journal (臺大法學論叢),O,,,Basic_or_Discovery_Scholarship,E1:Academic Research Articles
121779.0,食品安全體系管制理念原則之重塑與建構：國際與比較法觀點－以自由貿易協定 建構跨國食品安全管制機制之研究(1/2),2016,,,X,,,Basic_or_Discovery_Scholarship,E15:Other(Please describe)其他(科技部學術型計畫 MOST Research Project)
