teacher_id,resume_year,highest_edu_degree,highest_edu_department,highest_edu_school,highest_edu_graduation_year,experience,teaching_interests,research_interests,discipline,ADM,ED,SER,PA1-1&IP1-1,PA1-2,PA1-3,PA1-4,PA1-5,PA1-6,PA1-7&IP1-3,PA1-8&SP1-3,SP1-1,SP1-2,IP1a,IP1-2,IP1-4,IP1-5
101388,2021,PhD,,,1998,"1. Chairperson,Pension Fund Association, 2011-2013, 2017-2020
2. Chairperson, Financial Supervisory Commission (FSC), Taiwan, 2016 
3. Professor, Department of Risk Management and Insurance, National Chengchi University, 2008 – 2012, 2014- now
4. Vice Chairperson, Financial Supervisory Commission (FSC), Taiwan, 2013 –2016
5. Distinguished Professor, Department of Risk Management and Insurance, National Chengchi University, 2012 – 2014
6. Associate Professor, Department of Risk Management and Insurance, National Chengchi University, 2002 – 2008
7. Assistant Professor, Department of Risk Management and Insurance, National Chengchi University, 1998 - 2002","Risk Management and Insurance, Pension Plan and Annuity Market, Social Insurance, Insurance Finance and Accounting, Asset-Liability Management in Insurance and Pension.","Pension Plan, Insurance Finance and Accounting",,1,1,1,0,1.0,1,1,1,0,0,1,1,1,0,0,0,0
101476,2021,PhD,,,1998,"1. Associate Professor, Department of Accounting, 2004-present                                                                                                                                                                                           2. Assistant Professor, Department of Accounting, National Chengchi University, 1999-2003                                                                                                                3. Assistant Professor, Chung-Yuan Christian University, Department of Accounting,
  1998-1999","Cost and Managerial Accounting,  Advanced Management Accounting","Cost and Managerial Accounting, Financial Accounting, Japanese Cost Management",,0,0,0,0,1.0,0,0,1,1,0,1,1,0,0,0,0,0
101477,2021,PhD,,,1991,"1.Dean of International Cooperation, National Chengchi University(November 2014 –January 2016) 
2..Visiting scholar,University of Vienna, Austria(January 27- February 22, 2013)
3.Director,Center for Creativity and Innovation Studies(August 2012 -November 2014)  
4.Fulbright Scholar,Brigham Young University, Utah, USA(January – August 2012)
5.Visiting scholar,Aalto University, Finland(September – November 2011)
6.Dean of Student Affairs,National Chengchi University(August 2008 – July 2010)
7.Guest professor,Philips Program for Modern Chinese Economy Faculty of Arts, Leiden University, the Netherlands(February 2008 – July 2008)
8.Visiting professor,Brigham Young University, Utah, USA(August 2007 – January 2008)
9.Director,Center of International Education and Exchange, National Chengchi University(August 2004 – July 2006) 
10.Fulbright Scholar,Purdue University at West Lafayette, Indiana, USA(August 2002 – July 2003)
11.Director,Office of International Programs College of Commerce, National Chengchi University(2000-2002)
12.Director,IMBA Program, College of Commerce, National Chengchi University(2000-2002)
13.Professor, Dept. of Business Administration College of Commerce, National Chengchi University(1999-present)
14.Professor,Dept. of Business Administration/Institute of HRM National Central University(1997-1999)
15.Associate Professor,Dept. of Business Administration/Institute of HRM National Central University(1992-1997)
16.Teacher,Ming-Tao High School(1984-1986)
17.Customer Service  Manager,Singer Sewing Machine Company ,Taichung, Taiwan(1980-1984)
18.Office Manager,K-Mart Taipei Purchasing Office(1974-1980)""","Human Resource Management, Social Innovation, intellectual capital, SME management","Human Resource Management, Intellectual Capital, Corporate Social Responsibility, Social Innovation",,0,0,1,0,1.0,0,0,1,0,1,1,1,0,0,0,0,0
101567,2021,PhD,,,1997,"1. Professor, Department of Accounting, National Chengchi University, 2002-present                                                                                                                                                                                                              2. Associate Professor, Department of Accounting, National Chengchi University, 1998-2002                                                      3. Associate Professor, Department of Accounting, Fu Jen Catholic University, 1997-1998","Intermediate Accounting, Corporate Governance, Accounting Topics Workshop, Financial Information and Tax Topics, Seminar on Accounting Issues, Tax Planning,
Directed Study: The impact of taxation regulations on employee compensation method, Thesis
Directed Study: The Study on the Relationship between Auditor Expertise and Book-tax Difference","Tax Law, Tax Accounting, Financial Accounting, Intellectual Capital",,0,0,1,0,1.0,0,0,1,1,1,1,1,0,0,0,0,0
101600,2021,PhD,,,1998,"1. Professor,  Department of Risk Management and Insurance , National Chengchi University, Taiwan ,2010 / 8 ~
2. Associate Professor, Department of Risk Management and Insurance, National Chengchi University, Taiwan 2003 / 2 – 2010 / 7
3. Assistant Professor, Department of Risk Management and Insurance, National Chengchi University, Taiwan , 1998 / 8 – 2003 / 1
4. Director, Research Center on the Sustainable Development of Insurance Industries, CC, NCCU, 2015/6 ~
5. Director or Chairperson, Risk and Insurance Research Center, CC, NCCU, 2010/7 ~2016/6
6. Director of Mercuries Life Insurance Co., Ltd., 2010/6 ~
7. Director of Taiwan Insurance Institute, 2007/7 ~ 2020/1
8. Director of Life Insurance Guaranty Fund, 2008/4 – 2010/6
9. Fulbright Scholar, 2007/7 ~ 2008/7
10. Co-Editor, Journal of Risk Management, 2010/7 ~
11. Editorial Board Member of Journal of Insurance Issues, 2017/1 ~ 2019/12
12. Editorial Board Member, Insurance Monograph, 2005 ~ 
13. Chairman, Taiwan Risk and Insurance Association, 2017/12 ~ 2019/12
14. Board member, Taiwan Risk and Insurance Association, 2007/12 ~ 
15. Board member, the Asia-Pacific Risk and Insurance Association, 2005/8~ 2008/7","Insurance Finance, Financial Management, Risk Management and Insurance","Insurance Finance, Insurance Regulation",,0,0,1,0,1.0,1,1,1,1,1,1,1,1,1,0,0,0
101607,2021,PhD,,,1998,"Associate Professor, National Chengchi University, Dept. of International Trade, 2003-2004                                                               Assistant Professor, National Chengchi University, Dept. of International Trade, 1998-2003                                                         Reseacher, Headquarters in Zurich of Union Bank of Switzerland(UBS), Passive Fund Management Department, 1994                                        
Researcher Assistant, National Taiwan University, Dept. of Finance, 1991-1993 Assistant Manager, Fidelity Investments(Taiwan), Marketing Department, 1990-1991","International Finance,  Financial Time Series Analysis",Financial Economics,,0,0,1,0,1.0,0,0,0,1,1,1,0,0,0,0,0,0
101627,2021,PhD,,,1998,"Professor, Department of Accounting, National Chengchi University, 1990-present
Associate Professor, Department of Accounting, National Chengchi University, 1990-1994","Public Finance and Tax, Financial Supervisory and Leadership",Securities Markets,,0,0,0,0,0.0,1,0,0,0,1,1,0,0,1,0,0,0
101653,2021,PhD,,,1999,"1. Associate Professor, National Chengchi University, 2003 - now 
2. Assistant Professor, National Chengchi University, 1999 - 2003","Statistics, Bayesian Analysis","Bayesian Analysis, Statistical Machine Learning, Time Series, Sequential Analysis",,0,0,1,0,0.0,0,0,1,0,0,0,1,0,0,0,0,0
101654,2021,PhD,,,1987,"1. Assistant Professor, National Chengchi University, 1999 -2005.","Robust Regression Analysis, Categorical Data Analysis, Longitudinal Data analysis","Robust Regression Daignostics, Longitudinal Data analysis, Categorical Data Analysis",,0,0,1,0,0.0,0,1,1,0,0,0,1,0,0,0,0,0
101759,2021,PhD,,,1989,"Vice-dean, College of Commerce, National Chengchi University,2008/08~2016/07
Professor, Department of Management of Information Systems, National Chengchi University, 2002 - now 
Associate Professor, Department of Management of Information Systems, National Chengchi University, 2000 – 2002
Associate Professor, Department of Industrial Engineering, Mississippi State University, USA, 1994 - 2000
Assistant Professor, Department of Industrial Engineering, Mississippi State University, USA, 1988 – 1994","Applied Operations Research, Production and Operations Management, Scheduling Theory and Applications","Applied Operations Research, Production and Operations Management, Scheduling Theory and Applications",,1,0,0,0,1.0,0,0,1,0,0,1,1,0,0,0,0,0
101801,2021,PhD,,,2000,"1.     Professor, Department of Risk Management and Insurance, National Chengchi University, Taiwan (AUG 2011-Now).
2.     Associate Professor, Department of Risk Management and Insurance, National Chengchi University, Taiwan (FEB 2007—AUG 2011).
3.     Assistant Professor, Department of Risk Management and Insurance, National Chengchi University, Taiwan (SEP 2000—JAN 2007).
4.     Member, Reviewing Committee of Life Insurance Products, Insurance Bureau, Financial Supervisory Commission (JAN 2005--)
5.     Consultant Member, Committee of Risk Management, Taiwan Post Office Company (JAN 2007--)
6.     Consultant Member, Management Bord Public Service Pension Fund (JAN 2008--)
7.     Actuarial Specialist, Cathay Life Insurance Company (Jun 1994—Nan 1996)","Actuarial Science, Risk Theory","Actuarial Science, Insurance Product Pricing, Asset and Liability Management",,0,0,1,0,1.0,0,1,1,0,1,1,1,0,0,0,0,0
101830,2021,PhD,,,1999,"College of Management, National Taiwan University Research Assistant, Sep., 1991-Jun., 1993
Procter & Gamble Taiwan, Ltd. Brand Assistant, Marketing Department, Aug., 1990-Jul., 1991",國際行銷、國際新產品發展與管理、管理學,新產品預告、品牌/產品管理、行銷溝通、國際行銷,,0,0,1,0,0.0,0,0,0,1,0,1,0,0,0,0,0,0
101831,2021,PhD,,,2000,"Assistant Professor, Department of International Trade, National Chengchi University","Economics, Microeconomics Theory, International Trade Theory and Policy","Microeconomics Theory, Industrial Organization",,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0,0,0,0
101968,2021,PhD,,,2000,"Professor, Department of Accounting, National Chengchi University, 2020-present",AIS,AIS,,0,0,1,1,1.0,0,0,1,1,0,1,1,0,0,0,0,0
102048,2021,PhD,,,1998,"1.Professor, National Chengchi University, 2008-present
2.Assistant Professor, National Cheng-chi University, 2006-2018.
3.Associate Professor, National Chengchi University, 2001-2006","Simulation, Financial Engineering, Risk Management","Simulation, Financial Engineering, Risk Management",,0,0,1,0,1.0,0,1,1,0,1,1,1,0,0,0,0,1
102062,2021,PhD,,,1999,"1. Assistant Professor, National Chengchi University, 2001 - 2005 Jan
2. Associate Professor, National Chengchi University, 2005 Feb-now","Statistics, Advanced Calculus","Biostatistics, Genomic data analysis",,1,0,1,0,0.0,0,1,1,0,0,0,1,0,0,0,0,0
102063,2021,PhD,,,2001,"1. Associate Professor, Department of Risk Management and Insurance, National Chengchi University, 2008 – now
2. Assistant Professor, Department of Risk Management and Insurance, National Chengchi University, 2001 – 2007","Risk Management, Insurance Finance Management",Efficiency in Financial Institutions,,0,0,1,0,1.0,1,1,1,1,1,1,1,0,0,0,0,0
